,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,,,
Team,Pistons,Detroit,USA,Little Caesars Arena,20332,https://gmgames.org/dm16logos/Team8.png,Central,Detroit,Michigan,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Warriors,Golden State,USA,Chase Center,18064,https://gmgames.org/dm16logos/Team9.png,Pacific,Oakland,California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Rockets,Houston,USA,Toyota Center,18055,https://gmgames.org/dm16logos/Team10.png,Southwest,Houston,Texas,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Pacers,Indiana,USA,Bankers Life Fieldhouse,17923,https://gmgames.org/dm16logos/Team11.png,Central,Indianapolis,Indiana,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Clippers,Los Angeles,USA,Intuit Dome,19068,https://gmgames.org/dm16logos/Team12.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Lakers,Los Angeles,USA,Cyprto.com Arena,18997,https://gmgames.org/dm16logos/Team13.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Grizzlies,Memphis,USA,FedExForum,17794,https://gmgames.org/dm16logos/Team14.png,Southwest,Memphis,Tennessee,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Heat,Miami,USA,American Airlines Arena,19600,https://gmgames.org/dm16logos/Team15.png,Southeast,Miami,Florida,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Bucks,Milwaukee,USA,Fiserv Forum,17500,https://gmgames.org/dm16logos/Team16.png,Central,Milwaukee,Wisconsin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Timberwolves,Minnesota,USA,Target Center,18978,https://gmgames.org/dm16logos/Team17.png,Northwest,Minneapolis,Minnesota,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Pelicans,New Orleans,USA,Smoothie King Center,16867,https://gmgames.org/dm16logos/Team18.png,Southwest,New Orleans,Louisiana,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Knicks,New York,USA,Madison Square Garden,19812,https://gmgames.org/dm16logos/Team19.png,Atlantic,New York,New York,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Thunder,Oklahoma City,USA,Chesapeake Energy Arena,18203,https://gmgames.org/dm16logos/Team20.png,Northwest,Oklahoma City,Oklahoma,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Magic,Orlando,USA,Amway Center,18846,https://gmgames.org/dm16logos/Team21.png,Southeast,Orlando,Florida,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,76ers,Philadelphia,USA,Wells Fargo Center,20478,https://gmgames.org/dm16logos/Team22.png,Atlantic,Philadelphia,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Suns,Phoenix,USA,Talking Stick Resort Arena,18055,https://gmgames.org/dm16logos/Team23.png,Pacific,Phoenix,Arizona,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Trail Blazers,Portland,USA,Moda Center,19441,https://gmgames.org/dm16logos/Team24.png,Northwest,Portland,Oregon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Kings,Sacramento,USA,Golden 1 Center,17583,https://gmgames.org/dm16logos/Team25.png,Pacific,Sacramento,California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Spurs,San Antonio,USA,AT&T Center,18418,https://gmgames.org/dm16logos/Team26.png,Southwest,San Antonio,Texas,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Raptors,Toronto,Canada,Scotiabank Arena,19800,https://gmgames.org/dm16logos/Team27.png,Atlantic,Toronto,Canada,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Jazz,Utah,USA,Vivint Smart Home Arena,18306,https://gmgames.org/dm16logos/Team28.png,Northwest,Salt Lake City,Utah,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Wizards,Washington,USA,Capital One Arena,20356,https://gmgames.org/dm16logos/Team29.png,Southeast,Washincton,D.C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewFranchiseLogo,,,,,,https://gmgames.org/dm16logos/Team30.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,FirstName,Last Name,Position,Age,Height,Weight,Team ID,Defence,TurnOvers,FTA,FTPerc,2PTA,2PTPerc,3PTA,ThreePerc,OffReb,Fame,DefReb,FastBreak,Assists,Personality,Potential,Steals,Blocks,Stamina,Trait,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
