,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,,,
Team,Pistons,Detroit,USA,Little Caesars Arena,20332,https://gmgames.org/dm16logos/Team8.png,Central,Detroit,Michigan,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Warriors,Golden State,USA,Chase Center,18064,https://gmgames.org/dm16logos/Team9.png,Pacific,Oakland,California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Rockets,Houston,USA,Toyota Center,18055,https://gmgames.org/dm16logos/Team10.png,Southwest,Houston,Texas,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Pacers,Indiana,USA,Bankers Life Fieldhouse,17923,https://gmgames.org/dm16logos/Team11.png,Central,Indianapolis,Indiana,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Clippers,Los Angeles,USA,Intuit Dome,19068,https://gmgames.org/dm16logos/Team12.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Lakers,Los Angeles,USA,Cyprto.com Arena,18997,https://gmgames.org/dm16logos/Team13.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Grizzlies,Memphis,USA,FedExForum,17794,https://gmgames.org/dm16logos/Team14.png,Southwest,Memphis,Tennessee,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Heat,Miami,USA,American Airlines Arena,19600,https://gmgames.org/dm16logos/Team15.png,Southeast,Miami,Florida,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Bucks,Milwaukee,USA,Fiserv Forum,17500,https://gmgames.org/dm16logos/Team16.png,Central,Milwaukee,Wisconsin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Timberwolves,Minnesota,USA,Target Center,18978,https://gmgames.org/dm16logos/Team17.png,Northwest,Minneapolis,Minnesota,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Pelicans,New Orleans,USA,Smoothie King Center,16867,https://gmgames.org/dm16logos/Team18.png,Southwest,New Orleans,Louisiana,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Knicks,New York,USA,Madison Square Garden,19812,https://gmgames.org/dm16logos/Team19.png,Atlantic,New York,New York,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Thunder,Oklahoma City,USA,Chesapeake Energy Arena,18203,https://gmgames.org/dm16logos/Team20.png,Northwest,Oklahoma City,Oklahoma,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Magic,Orlando,USA,Amway Center,18846,https://gmgames.org/dm16logos/Team21.png,Southeast,Orlando,Florida,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,76ers,Philadelphia,USA,Wells Fargo Center,20478,https://gmgames.org/dm16logos/Team22.png,Atlantic,Philadelphia,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Suns,Phoenix,USA,Talking Stick Resort Arena,18055,https://gmgames.org/dm16logos/Team23.png,Pacific,Phoenix,Arizona,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Trail Blazers,Portland,USA,Moda Center,19441,https://gmgames.org/dm16logos/Team24.png,Northwest,Portland,Oregon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Kings,Sacramento,USA,Golden 1 Center,17583,https://gmgames.org/dm16logos/Team25.png,Pacific,Sacramento,California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Spurs,San Antonio,USA,AT&T Center,18418,https://gmgames.org/dm16logos/Team26.png,Southwest,San Antonio,Texas,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Raptors,Toronto,Canada,Scotiabank Arena,19800,https://gmgames.org/dm16logos/Team27.png,Atlantic,Toronto,Canada,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Jazz,Utah,USA,Vivint Smart Home Arena,18306,https://gmgames.org/dm16logos/Team28.png,Northwest,Salt Lake City,Utah,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Wizards,Washington,USA,Capital One Arena,20356,https://gmgames.org/dm16logos/Team29.png,Southeast,Washincton,D.C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewFranchiseLogo,,,,,,https://gmgames.org/dm16logos/Team30.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,FirstName,Last Name,Position,Age,Height,Weight,Team ID,Defence,TurnOvers,FTA,FTPerc,2PTA,2PTPerc,3PTA,ThreePerc,OffReb,Fame,DefReb,FastBreak,Assists,Personality,Potential,Steals,Blocks,Stamina,Trait,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Nickeil,Alexander-Walker,SG,27,196,205,0,69,6.89,6.77,7.69,10.87,7.44,9.99,7.34,6.71,50.1,8.1,58.14,8.66,59.14,71.42,6.06,6.36,67.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Dyson,Daniels,SG,23,203,198,0,83,7.94,6.46,7.63,12.32,7.5,9.4,7.3,7.46,63.5,8.89,73.04,9.89,72.1,82.76,7.43,6.68,76.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Buddy,Hield,SG,30,193,220,0,69,7.77,6.77,7.81,9.54,7.48,12.2,7.36,6.44,62.4,7.66,58.14,9.1,67.99,71.42,5.8,6.17,67.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jalen,Johnson,PF,24,206,220,0,69,7.77,8.1,7.66,15.29,7.51,8.66,7.3,7.77,62.4,11.64,62.56,9.99,63.56,77.58,6.16,6.8,71.6,SP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jonathan,Kuminga,SF,22,201,225,0,69,7.63,7.44,7.64,13.33,7.49,8.44,7.31,7.47,56.3,9.89,57.92,8.44,61.4,70.23,5.81,6.49,66.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,CJ,McCollum,PG,32,191,190,0,50,8.16,8.24,7.76,11.76,7.44,10.68,7.35,6.36,59.0,7.52,55.4,9.6,57.8,61.2,5.72,6.22,62.2,EX,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Onyeka,Okongwu,C,24,203,235,0,83,6.97,7.43,7.73,12.8,7.56,6.49,7.19,8.92,66.2,11.32,58.46,7.46,66.26,82.76,5.78,7.17,78.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Zaccharie,Risacher,SF,20,203,200,0,50,7.32,6.32,7.64,9.97,7.46,8.98,7.31,6.99,44.7,7.65,44.7,7.32,52.4,56.7,5.6,6.33,55.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Gabe,Vincent,PG,28,191,200,0,50,7.44,6.44,7.78,8.88,7.4,9.24,7.33,6.36,48.2,6.44,51.8,8.16,55.0,56.8,5.58,6.14,60.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Corey,Kispert,SF,26,198,223,0,50,6.72,6.44,7.78,8.88,7.48,10.32,7.35,6.36,48.2,6.8,48.2,7.44,52.8,56.8,5.5,6.14,60.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jock,Landale,C,29,211,255,0,69,6.89,6.77,7.69,10.87,7.48,7.33,7.28,7.33,54.2,8.99,53.71,7.33,59.14,66.99,5.44,6.71,67.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Mouhamed,Gueye,PF,22,208,210,0,50,7.32,6.32,7.64,9.31,7.46,7.66,7.28,6.99,41.4,7.65,44.7,7.32,51.0,54.7,5.46,6.4,55.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jayson,Tatum,SF,26,203,210,1,69,7.77,10.31,7.78,15.29,7.51,13.08,7.35,6.89,78.8,11.64,71.42,10.43,76.85,89.13,6.06,6.62,75.7,SP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jaylen,Brown,SG,27,198,223,1,69,7.77,9.87,7.74,14.41,7.48,10.87,7.33,7.06,77.2,10.31,66.99,9.54,75.12,84.7,5.97,6.44,75.7,SP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Derrick,White,PG,29,193,190,1,83,6.97,8.4,7.83,12.32,7.49,10.86,7.37,6.49,72.5,8.89,73.04,10.86,88.62,87.62,6.46,6.78,82.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Nikola,Vucevic,C,32,208,260,1,69,7.77,7.66,7.74,13.97,7.48,8.66,7.31,8.21,70.6,13.86,53.71,8.66,72.42,77.58,5.71,6.62,71.6,IH,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Payton,Pritchard,PG,26,185,195,1,69,6.89,6.77,7.81,9.99,7.42,11.31,7.35,6.44,62.4,7.66,66.99,9.54,76.85,74.12,5.89,6.17,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Sam,Hauser,SF,27,201,217,1,50,6.72,6.44,7.78,8.52,7.44,10.68,7.39,6.36,54.0,7.52,48.2,7.44,56.4,59.0,5.43,6.22,62.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Neemias,Queta,C,25,213,245,1,69,6.89,7.21,7.6,11.76,7.53,6.44,7.18,8.21,58.3,10.31,53.71,6.89,66.26,71.42,5.62,7.06,70.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jordan,Walsh,SF,21,198,205,1,69,7.63,6.63,7.64,10.07,7.44,8.85,7.3,6.81,50.3,8.26,57.92,7.63,63.02,70.23,5.81,6.49,64.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Luka,Garza,C,26,208,243,1,50,6.72,6.44,7.69,11.04,7.51,7.44,7.32,7.44,55.4,9.68,41.0,7.08,52.8,59.0,5.36,6.36,60.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Ron,Harper Jr.,SF,24,198,245,1,50,7.44,6.8,7.69,9.6,7.46,8.16,7.31,7.08,48.2,8.24,48.2,7.44,55.0,59.0,5.5,6.29,60.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Baylor,Scheierman,SF,23,198,205,1,50,6.72,6.44,7.74,9.24,7.46,9.96,7.35,6.58,48.2,7.52,48.2,7.8,56.4,59.0,5.5,6.22,60.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Hugo,Gonzalez,SG,19,198,190,1,50,7.32,5.99,7.64,8.65,7.44,7.99,7.3,6.33,41.4,6.99,48.1,7.32,53.7,61.3,5.53,6.2,55.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Michael,Porter Jr.,SF,27,208,218,2,69,7.77,8.54,7.75,14.41,7.5,11.76,7.37,7.06,70.6,10.76,62.56,7.77,67.99,80.28,5.71,6.44,71.6,EX,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Nic,Claxton,C,25,211,215,2,83,6.97,7.92,7.58,12.8,7.63,6.19,7.1,8.92,68.0,12.29,63.32,7.94,69.18,87.62,5.87,7.75,82.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Ochai,Agbaji,SG,25,196,215,2,69,6.89,6.77,7.69,10.87,7.46,9.99,7.33,6.71,58.3,8.1,62.56,8.21,66.26,74.12,5.8,6.36,70.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Terance,Mann,SG,28,196,215,2,69,6.89,7.21,7.72,11.31,7.48,9.1,7.33,7.06,62.4,8.99,66.99,8.66,67.99,75.85,5.89,6.44,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Ziaire,Williams,SF,23,203,188,2,69,7.77,7.21,7.64,11.31,7.44,9.54,7.31,6.89,58.3,8.54,62.56,7.77,67.99,75.85,5.71,6.44,70.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Day'Ron,Sharpe,C,23,206,265,2,69,6.89,7.21,7.6,11.76,7.51,6.44,7.18,9.1,60.8,11.2,53.71,7.33,63.56,75.85,5.62,6.89,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Noah,Clowney,PF,20,208,210,2,69,7.63,6.63,7.64,10.48,7.46,8.85,7.3,7.22,54.0,9.07,53.92,7.22,63.02,74.23,5.65,6.65,64.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Josh,Minott,SF,22,203,215,2,69,7.63,6.63,7.64,10.07,7.44,8.44,7.29,7.22,50.3,8.66,57.92,7.22,61.4,70.23,5.73,6.49,64.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jalen,Wilson,SF,24,198,225,2,50,6.72,6.44,7.69,9.6,7.44,8.52,7.31,6.86,48.2,8.24,48.2,7.44,56.4,61.2,5.58,6.29,62.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Egor,Demin,PG,18,203,190,2,50,7.32,5.99,7.64,8.98,7.44,8.32,7.31,6.33,41.4,6.99,48.1,8.32,53.7,64.6,5.53,6.2,55.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Danny,Wolf,C,21,213,255,2,69,8.85,7.76,7.55,10.89,7.53,8.44,7.33,7.71,14.1,11.44,66.88,8.94,71.99,72.61,5.73,7.31,67.9,R,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Nolan,Traore,PG,18,191,175,2,50,7.32,5.99,7.64,8.65,7.43,8.32,7.3,6.33,41.4,6.66,51.4,8.65,55.7,64.6,5.6,6.13,55.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Drake,Powell,SF,19,198,195,2,50,7.32,5.99,7.64,8.98,7.44,8.32,7.31,6.53,41.4,7.32,48.1,7.32,52.4,63.3,5.53,6.26,55.7,R,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,LaMelo,Ball,PG,23,201,180,3,69,8.66,9.43,7.74,13.53,7.41,13.08,7.33,6.89,74.7,10.31,71.42,13.08,81.28,86.43,6.33,6.36,75.7,SP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Brandon,Miller,SF,22,206,200,3,69,7.63,8.26,7.75,13.33,7.44,11.29,7.34,6.98,65.4,9.48,62.02,8.44,69.5,78.33,5.81,6.49,67.9,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Miles,Bridges,PF,27,201,225,3,69,7.77,8.99,7.74,14.86,7.48,9.54,7.31,7.33,72.2,11.2,66.99,9.1,72.42,80.28,5.89,6.62,73.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Tre,Mann,PG,24,190,180,3,69,7.77,7.66,7.72,11.76,7.42,10.87,7.33,6.44,66.5,7.66,66.99,9.99,72.42,80.28,5.89,6.27,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Josh,Green,SG,24,196,200,3,69,6.89,6.77,7.69,10.87,7.46,9.1,7.31,6.89,62.4,8.99,66.99,8.21,67.99,75.85,6.06,6.44,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Grant,Williams,PF,26,198,236,3,69,6.89,7.21,7.78,10.43,7.46,9.99,7.35,6.89,64.0,9.43,58.14,7.77,72.42,75.85,5.8,6.44,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Coby,White,PG,25,196,195,3,69,7.77,7.66,7.78,12.64,7.43,11.31,7.33,6.44,69.0,8.1,71.42,9.99,75.12,80.28,5.89,6.27,73.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Xavier,Tillman,C,26,203,245,3,69,6.89,7.21,7.6,11.76,7.51,6.89,7.28,8.21,62.4,10.76,53.71,8.21,67.99,75.85,5.89,6.89,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Moussa,Diabate,PF,23,208,210,3,69,7.77,6.77,7.64,11.31,7.51,7.33,7.23,7.77,58.3,10.31,58.14,7.33,69.72,80.28,5.8,6.71,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Pat,Connaughton,SG,31,196,209,3,69,6.89,6.77,7.75,9.54,7.44,10.87,7.33,6.71,62.4,8.1,62.56,7.77,67.99,71.42,5.62,6.27,70.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Ryan,Kalkbrenner,C,24,213,235,3,83,7.17,9.96,7.7,15.23,7.69,7.65,7.39,8.33,9.5,11.03,76.93,7.46,87.65,82.76,5.78,8.62,78.9,R,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Kon,Knueppel,SG,20,202,217,3,69,7.06,7.12,7.8,9.18,7.5,11.05,7.34,6.65,20.1,8.1,70.99,8.2,70.37,78.33,5.65,6.16,70.1,R,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Antonio,Reeves,SG,24,196,187,3,50,7.44,6.44,7.74,9.96,7.44,9.6,7.35,6.36,51.8,7.16,51.8,7.44,57.8,66.2,5.5,6.14,62.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Tidjane,Salaun,PF,19,206,210,3,50,7.32,6.32,7.64,9.64,7.44,8.32,7.3,6.99,44.7,8.64,44.7,7.32,55.7,64.6,5.53,6.46,57.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Anfernee,Simons,SG,26,191,181,4,69,7.77,8.54,7.81,12.64,7.42,12.64,7.35,6.44,72.2,8.1,71.42,9.99,75.12,82.98,5.89,6.17,73.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Collin,Sexton,PG,26,188,190,4,69,7.77,9.87,7.77,13.97,7.44,9.1,7.31,6.44,70.6,7.66,75.85,9.54,72.42,80.28,5.89,6.17,73.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Josh,Giddey,PG,22,203,205,4,69,8.44,7.44,7.69,12.92,7.44,8.04,7.28,7.63,65.4,11.11,62.02,11.29,75.23,78.33,5.98,6.41,67.9,SP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Isaac,Okoro,SF,24,196,225,4,69,6.89,7.21,7.69,10.87,7.46,9.1,7.32,7.06,62.4,8.99,62.56,7.77,67.99,77.58,6.06,6.53,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Patrick,Williams,PF,23,201,215,4,69,6.89,7.21,7.74,11.76,7.44,9.1,7.32,7.33,62.4,9.87,62.56,7.77,69.72,80.28,5.89,6.71,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jalen,Smith,C,25,208,215,4,69,6.89,7.66,7.69,12.2,7.51,7.77,7.32,8.21,64.0,11.2,58.14,7.33,67.99,77.58,5.71,7.06,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Zach,Collins,C,27,211,250,4,69,7.77,8.1,7.74,12.64,7.48,8.21,7.29,7.77,64.0,10.76,53.71,8.21,69.72,75.85,5.71,6.89,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Rob,Dillingham,PG,20,188,175,4,50,7.32,6.66,7.74,9.97,7.42,9.64,7.34,6.33,56.7,6.66,54.7,8.98,59.0,64.6,5.66,6.13,59.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Tre,Jones,PG,25,185,185,4,69,6.89,7.21,7.78,11.76,7.46,7.77,7.28,6.44,64.0,7.66,66.99,10.87,81.28,75.85,6.06,6.17,73.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Leonard,Miller,PF,21,208,215,4,69,7.63,7.04,7.64,11.29,7.46,7.63,7.28,7.63,56.3,10.29,53.92,7.63,67.13,76.71,5.65,6.65,66.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Matas,Buzelis,SF,20,208,210,4,69,7.63,7.04,7.69,10.89,7.44,9.66,7.31,7.22,57.8,9.07,57.92,8.04,69.5,79.95,5.65,6.57,66.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Guerschon,Yabusele,PF,29,203,260,4,69,6.89,7.66,7.69,12.2,7.48,7.77,7.31,7.77,62.4,10.76,58.14,7.77,67.99,71.42,5.71,6.62,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Donovan,Mitchell,SG,27,191,215,5,69,7.77,9.87,7.78,14.41,7.44,12.2,7.33,6.71,77.2,9.43,75.85,10.87,81.28,86.43,6.33,6.27,75.7,SP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,James,Harden,PG,32,196,220,5,69,9.54,12.08,7.8,13.97,7.41,12.64,7.32,6.89,78.8,10.31,71.42,13.97,85.7,84.7,6.33,6.44,73.2,HF,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Evan,Mobley,PF,23,211,215,5,83,7.94,8.89,7.73,15.23,7.53,7.46,7.29,8.43,81.5,13.75,68.18,8.92,83.76,94.42,6.17,7.75,82.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jarrett,Allen,C,26,211,243,5,83,6.97,8.4,7.68,14.26,7.63,6.19,7.1,9.4,77.0,14.23,63.32,7.94,78.9,90.54,5.97,7.65,82.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Max,Strus,SF,28,196,215,5,69,6.89,7.21,7.78,10.87,7.42,12.2,7.34,6.71,66.5,8.99,66.99,8.21,72.42,77.58,5.8,6.36,73.2,EX,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Dennis,Schroder,PG,30,185,172,5,69,7.77,8.1,7.77,12.64,7.43,9.1,7.31,6.44,66.5,7.66,75.85,10.87,76.85,75.85,5.89,6.17,73.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Sam,Merrill,SG,28,193,205,5,50,6.72,6.08,7.81,8.52,7.41,10.68,7.37,6.36,56.8,6.8,51.8,7.44,60.0,61.2,5.5,6.14,63.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Larry,Nance Jr.,PF,32,203,245,5,69,6.89,6.77,7.78,10.43,7.51,8.66,7.32,7.33,66.5,10.31,58.14,8.21,76.85,74.12,5.89,6.62,71.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
